frame_index,timestamp,pred,event_cls,x,y
48252,1764853812394.0,0.6468638423467904,0,657.0,124.33333587646484
48267,1764853812862.0,0.6468638423467904,0,654.3333740234375,106.0
48817,1764853830043.0,0.6098005713219325,0,677.3333129882812,132.6666717529297
49739,1764853858847.0,0.6428346326508549,0,659.3333740234375,150.3333282470703
49759,1764853859471.0,0.6098005713219325,0,644.3333740234375,123.33333587646484
49911,1764853864219.0,0.6007658230492892,0,709.3333740234375,418.3333129882813
50509,1764853882899.0,0.6007658230492892,0,587.0,480.0
50565,1764853884647.0,0.5610792659799704,0,687.0,560.3333129882812
50579,1764853885087.0,0.644106919988953,0,704.0,560.3333129882812
50619,1764853886335.0,0.6123465453047112,0,786.0,582.0
50645,1764853887147.0,0.5759455057999064,0,826.0,604.0
50657,1764853887523.0,0.5916446653877965,0,809.3333740234375,598.3333129882812
50722,1764853889552.0,0.5954629267086731,0,804.6666870117188,572.6666870117188
50745,1764853890271.0,0.6098005713219325,0,816.0,564.3333740234375
50834,1764853893051.0,0.6402886586680763,0,798.3333740234375,360.6666564941406
51097,1764853901267.0,0.6468638423467904,0,470.3333129882813,483.9999694824219
51167,1764853903452.0,0.6468638423467904,0,533.3333129882812,587.3333740234375
51193,1764853904267.0,0.5649388851552362,0,594.6666870117188,594.0
51245,1764853905891.0,0.5916446653877965,0,613.3333129882812,574.3333740234375
51319,1764853908203.0,0.6110728586600307,0,644.0,567.3333129882812
51338,1764853908796.0,0.6098005713219325,0,644.6666870117188,564.6666870117188
51406,1764853910920.0,0.6284059850728285,0,566.3333740234375,342.3333435058594
51502,1764853913920.0,0.6031480755815362,0,588.3333129882812,348.3333435058594
51560,1764853915732.0,0.6110728586600307,0,710.3333129882812,126.66666412353516
51575,1764853916200.0,0.6468638423467904,0,758.6666870117188,253.3333282470703
52023,1764853930192.0,0.6428346326508549,0,1180.3333740234375,654.6666870117188
52141,1764853933880.0,0.5726599882353924,0,794.6666870117188,561.3333740234375
52153,1764853934256.0,0.6098005713219325,0,778.0,572.6666870117188
52191,1764853935440.0,0.6428346326508549,0,792.0,576.0
52215,1764853936192.0,0.5558177274937435,0,808.6666870117188,564.6666870117188
52234,1764853936785.0,0.6402886586680763,0,808.3333740234375,570.3333129882812
52305,1764853939004.0,0.6402886586680763,0,778.0,360.0
52397,1764853941876.0,0.6123465453047112,0,788.3333740234375,578.0
52438,1764853943156.0,0.5916446653877965,0,794.0,577.3333740234375
52480,1764853944469.0,0.5701140142526139,0,814.3333740234375,560.0
52516,1764853945593.0,0.6123465453047112,0,798.3333740234375,542.0
52550,1764853946656.0,0.6402886586680763,0,800.6666259765625,360.0
52910,1764853957901.0,0.598442521772772,0,706.3333129882812,115.33333587646484
53350,1764853971645.0,0.6098005713219325,0,686.6666259765625,385.0
53420,1764853973833.0,0.5982198490665105,0,604.6666870117188,484.3333435058594
53645,1764853980861.0,0.6284059850728285,0,579.3333740234375,348.6666564941406
53734,1764853983641.0,0.5916446653877965,0,614.6666870117188,572.3333129882812
53757,1764853984361.0,0.5929169527258945,0,630.6666259765625,574.3333740234375
53783,1764853985173.0,0.5701140142526139,0,640.0,531.3333129882812
53870,1764853987889.0,0.6189217289834252,0,594.6666870117188,346.0
54654,1764854012381.0,0.5997162084174525,0,649.3333740234375,116.33333587646484
55050,1764854024750.0,0.6009884957555507,0,687.3333129882812,93.66666412353516
55685,1764854044586.0,0.5739322755734906,0,626.6666870117188,254.3333282470703
